,ID ANUNCIIO,FUENTE INFO,FECHA INICIO ANFITRION,TASA DE RESPUESTA,SUPERANFITRION,CANTIDAD TOTAL ANUNCIOS,LONGITUD,TIPO DE CUARTO,BAÑOS,CAMAS,PRECIO,NOCHES MAXIMAS,MAXIMO NOCHES MINIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 90D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 30D,PUNTAJE PRECISION,PUNTAJE CHECKIN,PUNTAJE UBICACION,RESERVA INSTANTANEA,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION COMPARTIDA
1609,881617355336190227,city scrape,2021-09-10,100%,t,8,6.141718,Private room,1.0,3.0,$165.00,7,2,7,7.0,26,84,22,0,4.55,4.82,4.91,t,0,0
1610,882226116697819550,city scrape,2012-11-20,100%,f,1,6.1295747,Entire home/apt,1.0,1.0,$120.00,365,5,365,365.0,30,79,3,0,5.0,5.0,5.0,f,1,0
1611,883173791585148389,previous scrape,2017-11-01,,f,1,6.1114398,Private room,,,,1125,1,1125,1125.0,0,0,26,0,4.85,4.81,4.73,f,0,0
1612,884541718513445180,city scrape,2016-05-19,100%,f,1,6.14555,Entire home/apt,1.0,1.0,$95.00,35,5,35,35.0,0,34,30,1,4.63,4.83,4.83,t,1,0
1613,885392502193426109,previous scrape,2023-05-06,,f,1,6.16361,Entire home/apt,,,,90,1,1125,1125.0,0,0,0,0,,,,f,1,0
1614,885538254857581821,city scrape,2016-11-09,100%,f,8,6.16128,Entire home/apt,1.0,1.0,$174.00,730,3,730,730.0,24,84,17,0,4.94,4.94,4.88,f,7,0
1615,886858665607494258,previous scrape,2023-05-08,50%,f,1,6.14457,Entire home/apt,,,,15,1,15,15.0,0,0,5,0,5.0,5.0,5.0,f,1,0
1616,886859768714463723,city scrape,2019-02-05,100%,t,2,6.15833,Entire home/apt,1.0,2.0,$165.00,730,2,1125,1125.0,13,63,190,3,4.83,4.88,4.88,f,2,0
1617,886887875812564009,city scrape,2023-05-08,,f,1,6.15733,Entire home/apt,1.0,1.0,$115.00,15,3,15,15.0,28,88,1,0,5.0,5.0,4.0,f,1,0
1618,887531195116696524,city scrape,2023-05-09,100%,t,9,6.13301,Private room,1.0,1.0,$100.00,7,2,1125,1125.0,26,79,5,0,5.0,5.0,5.0,t,0,0
