,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
305,305,15831895,20241229042300,city scrape,Philippe,2012-10-02,within an hour,100.0,100%,t,20,22,46.20121,6.14472,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Freezer"", ""Stove"", ""Washer"", ""Wine glasses"", "".  conditioner"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Clothing storage: wardrobe and dresser"", ""Coffee"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Iron"", ""Drying rack for clothing"", ""Oven"", ""Toaster"", ""Body soap"", "".  shampoo"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Cleaning products"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""Self check-in""]",91.0,2,1125,1,63,1125,1125,6.1,1125.0,t,1,2,2,179,210,21,0,4.71,4.85,4.86,4.86,4.86,4.92,4.59,t,18,18,0,0,2.13
311,311,16172566,20241229042300,city scrape,Philippe,2012-10-02,within an hour,100.0,100%,t,20,22,46.21255,6.12758,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Stove"", ""Washer"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Dining table"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Clothing storage: wardrobe"", ""Paid parking off premises"", ""Oven"", ""Toaster"", ""Body soap"", ""EV charger"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Cooking basics"", ""Hot water"", ""TV"", ""Wifi"", ""Self check-in"", ""Room-darkening shades""]",119.0,3,1125,3,3,1125,1125,3.0,1125.0,t,0,0,0,87,81,9,1,4.79,4.88,4.84,4.93,4.83,4.79,4.68,t,18,18,0,0,0.88
336,336,17185384,20241229042300,city scrape,Fiona,2014-04-23,within an hour,100.0,100%,t,1,2,46.22518,6.13314,Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,"[""Hair dryer"", ""Conditioner"", ""Hot water kettle"", ""Bathtub"", ""Washer"", ""Wine glasses"", ""Outdoor furniture"", ""BBQ grill"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Garden view"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Electric stove"", ""Toaster"", ""Body soap"", ""Outdoor dining area"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Cleaning products"", ""Cleaning available during stay"", ""Backyard"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Wifi""]",185.0,3,42,3,3,1125,1125,3.0,1125.0,t,25,31,52,125,98,13,1,4.92,4.91,4.87,4.98,4.97,4.87,4.8,t,1,1,0,0,1.03
337,337,17196955,20241229042300,city scrape,Helena,2017-02-10,within an hour,100.0,100%,t,1,1,46.19877,6.15612,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Stove"", ""Wine glasses"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Shower gel"", ""Dining table"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Oven"", ""Toaster"", ""Body soap"", ""Clothing storage: closet, wardrobe, and dresser"", ""Refrigerator"", ""Microwave"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Wifi"", ""Self check-in"", ""Room-darkening shades""]",108.0,5,180,5,5,1125,1125,5.0,1125.0,t,6,9,29,211,138,25,2,4.9,4.96,4.96,4.96,4.99,4.88,4.82,t,1,1,0,0,1.45
377,377,19172142,20241229042300,city scrape,Najib,2017-06-08,within an hour,100.0,100%,t,3,3,46.2166,6.09229,Private room in rental unit,Private room,1,1.0,0.0,1.0,"[""Essentials"", ""Iron"", ""Elevator"", ""Private living room"", ""Heating"", ""Host greets you"", ""Dryer"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Hangers""]",57.0,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,365,273,45,2,4.62,4.78,4.49,4.87,4.87,4.64,4.59,t,2,0,2,0,2.97
404,404,20307382,20241229042300,city scrape,Séverine,2017-08-07,within an hour,100.0,94%,t,2,2,46.22849,6.0718,Yurt,Entire home/apt,4,0.5,1.0,4.0,"[""Essentials"", ""Luggage dropoff allowed"", ""Microwave"", ""Free parking on premises"", ""Heating"", ""Backyard"", ""Lockbox"", ""Breakfast"", ""Host greets you"", ""Dishes and silverware"", ""Self check-in"", ""Fire extinguisher""]",85.0,1,1125,1,1,1125,1125,1.0,1125.0,t,9,17,29,66,554,32,1,4.83,4.88,4.86,4.9,4.93,4.76,4.75,t,1,1,0,0,6.22
410,410,20669530,20241229042300,city scrape,Philippe,2012-10-02,within an hour,100.0,100%,t,20,22,46.20259,6.14457,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Stove"", ""Washer"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Pets allowed"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Oven"", ""Toaster"", ""Body soap"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",128.0,1,1125,1,1,1125,1125,1.0,1125.0,t,11,30,41,134,107,22,1,4.91,4.98,4.95,4.96,4.95,4.93,4.75,t,18,18,0,0,1.25
421,421,21003738,20241229042300,previous scrape,Agneta,2016-04-10,within an hour,100.0,100%,t,1,4,46.2133,6.15061,Entire rental unit,Entire home/apt,4,,2.0,,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Lake access"", ""Bathtub"", ""Stove"", ""Carbon monoxide alarm"", ""Private entrance"", ""First aid kit"", ""Dishes and silverware"", ""Free washer \u2013 In building"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Smoke alarm"", ""Oven"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Paid parking on premises"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",,6,1125,6,6,1125,1125,6.0,1125.0,t,0,0,0,0,318,20,1,4.86,4.91,4.9,4.96,4.9,4.88,4.79,t,1,1,0,0,3.59
426,426,21244552,20241229042300,city scrape,Samia,2016-07-04,within an hour,100.0,100%,t,3,4,46.21023,6.13953,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Hair dryer"", ""Books and reading material"", ""Stove"", ""Outdoor furniture"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Shower gel"", ""Portable fans"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Oven"", ""Patio or balcony"", ""Fire extinguisher"", ""Refrigerator"", ""Lock on bedroom door"", ""Microwave"", ""Heating"", ""Cleaning products"", ""Cooking basics"", ""TV"", ""Shampoo"", ""Wifi"", ""Self check-in"", ""Room-darkening shades""]",64.0,1,730,1,4,1125,1125,1.4,1125.0,t,4,16,32,32,29,8,0,4.76,4.86,4.86,4.76,4.86,4.79,4.72,t,3,0,3,0,0.34
435,435,21678834,20241229042300,city scrape,Virginie,2017-11-07,within an hour,100.0,98%,t,1,2,46.21536,6.14878,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Hair dryer"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Host greets you"", ""Patio or balcony"", ""Refrigerator"", ""Heating"", ""Cleaning products"", ""Paid parking on premises"", ""Cooking basics"", ""Hot water"", ""TV"", ""Wifi"", ""Room-darkening shades""]",89.0,3,365,3,3,365,365,3.0,365.0,t,17,47,63,338,36,18,1,4.75,4.92,4.72,4.89,4.89,4.83,4.67,t,1,1,0,0,1.76
441,441,21840630,20241229042300,city scrape,Philippe,2012-10-02,within an hour,100.0,100%,t,20,22,46.19056,6.13459,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Hair dryer"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Dedicated workspace"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Oven"", ""EV charger"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Cooking basics"", ""Hot water"", ""TV"", ""Wifi"", ""Self check-in""]",119.0,3,365,3,3,1125,1125,3.0,1125.0,t,0,0,23,111,28,6,0,4.82,4.86,4.75,4.96,4.86,4.54,4.64,t,18,18,0,0,0.33
488,488,23630646,20241229042300,city scrape,Bea,2018-03-05,within an hour,100.0,100%,t,2,2,46.1941,6.14394,Entire rental unit,Entire home/apt,7,1.5,3.0,5.0,"[""Hair dryer"", ""Crib - always at the listing"", ""Long term stays allowed"", ""HDTV with Netflix, standard cable"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Portable air conditioning"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Laundromat nearby"", ""Wine glasses"", ""Private entrance"", ""Fast wifi \u2013 168 Mbps"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Changing table"", ""Dining table"", ""Coffee"", ""Ethernet connection"", ""Mixed brands- lots of choices conditioner"", ""Bed linens"", ""Hangers"", ""Portable fans"", ""Iron"", ""Coffee maker"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Mixted brands - lots of choice body soap"", ""Paid parking off premises"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Free washer"", ""Dishwasher"", ""Paid parking lot on premises \u2013 1 space"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Mini fridge"", ""Baby bath"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Blender"", ""Room-darkening shades""]",310.0,2,1125,2,2,1125,1125,2.0,1125.0,t,21,21,45,308,221,31,1,4.93,4.9,4.93,4.97,4.99,4.91,4.76,t,2,2,0,0,2.74
522,522,25764077,20241229042300,city scrape,Nathalie,2018-06-05,within an hour,100.0,100%,t,1,1,46.18857,6.15386,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,"[""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Outdoor dining area"", ""Wifi"", ""Heating"", ""Dryer"", ""Cooking basics"", ""Washer"", ""Hot water"", ""Outdoor furniture"", ""Dedicated workspace"", ""HDTV"", ""Dishes and silverware"", ""Kitchen"", ""Hangers""]",120.0,1,30,1,1,1125,1125,1.0,1125.0,t,0,0,28,298,113,5,0,4.96,4.98,4.98,4.96,4.98,4.9,4.74,t,1,1,0,0,1.42
542,542,27162074,20241229042300,city scrape,Jeremy,2016-11-13,within an hour,100.0,100%,t,1,1,46.20487,6.14311,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Long term stays allowed"", ""Lake access"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Keypad"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Hangers"", ""Coffee maker"", ""Paid parking off premises"", ""Self check-in"", ""Oven"", ""Refrigerator"", ""Free street parking"", ""Heating"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""River view""]",107.0,6,30,6,6,1125,1125,6.0,1125.0,t,18,27,57,60,36,5,0,4.89,4.92,4.75,5.0,4.97,4.97,4.83,t,1,1,0,0,0.46
563,563,28465444,20241229042300,city scrape,John,2016-01-11,within an hour,100.0,100%,t,3,3,46.19667,6.14271,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Washer"", ""Carbon monoxide alarm"", ""Kitchen"", ""Essentials"", ""Smart lock"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Smoke alarm"", ""Lock on bedroom door"", ""Refrigerator"", ""Heating"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Wifi"", ""Self check-in""]",99.0,1,365,1,1,365,365,1.0,365.0,t,14,24,51,52,1,1,0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,t,3,0,3,0,0.13
585,585,29434934,20241229042300,previous scrape,Rachel,2018-10-20,,,100%,t,1,1,46.20319,6.15962,Entire rental unit,Entire home/apt,2,,1.0,,"[""Hair dryer"", ""Conditioner"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Portable fans"", ""Bed linens"", ""Oven"", ""Body soap"", ""Refrigerator"", ""Board games"", ""Heating"", ""Cleaning products"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Wifi""]",,3,21,3,3,1125,1125,3.0,1125.0,t,0,0,0,0,38,16,0,4.79,4.89,4.79,4.95,4.95,4.92,4.63,t,1,1,0,0,0.51
